"","City","State","Area","Longitude","Latitude"
"210","Midland","Texas",186.7,-102.1,32.0299
"211","Coral Springs","Florida",61.6,-80.25,26.2708
"212","Concord","California",79.1,-122,37.9722
"213","Topeka","Kansas",155.8,-95.69,39.0362
"214","Simi Valley","California",107.4,-118.7,34.2669
"215","Surprise","Arizona",273.9,-112.4,33.6706
"216","Lafayette","Louisiana",127.5,-92.03,30.2116
"217","Kent","Washington",74.1,-122.2,47.3853
"218","Hartford","Connecticut",45,-72.68,41.766
"219","Santa Clara","California",47.7,-121.9,37.3646
"220","Victorville","California",189.5,-117.3,34.5277
"221","Abilene","Texas",276.6,-99.73,32.4545
"222","Murfreesboro","Tennessee",143.3,-86.41,35.8522
"223","Evansville","Indiana",114.4,-87.53,37.9877
"224","Vallejo","California",79.4,-122.2,38.1079
"225","Athens","Georgia",301.4,-83.37,33.9496
"226","Allentown","Pennsylvania",45.4,-75.47,40.594
"227","Berkeley","California",27.1,-122.2,37.8667
"228","Norman","Oklahoma",463,-97.44,35.22
"229","Ann Arbor","Michigan",72.1,-83.73,42.2756
"230","Beaumont","Texas",214.5,-94.14,30.0843
"231","Independence","Missouri",200.9,-94.35,39.0853
"232","Columbia","Missouri",163.4,-92.32,38.9479
"233","Springfield","Illinois",154.1,-89.67,39.7639
"234","El Monte","California",24.8,-118,34.0746
"235","Fargo","North Dakota",126.4,-96.82,46.8652
"236","Peoria","Illinois",124.3,-89.61,40.7523
"237","Provo","Utah",107.9,-111.6,40.2453
"238","Lansing","Michigan",93.4,-84.55,42.7098
"239","Odessa","Texas",108.7,-102.3,31.8804
"240","Downey","California",32.1,-118.1,33.9382
"241","Wilmington","North Carolina",133.4,-77.88,34.2092
"242","Arvada","Colorado",91,-105.1,39.8097
"243","Costa Mesa","California",40.5,-117.9,33.6659
"244","Round Rock","Texas",88.4,-97.66,30.5237
"245","Carlsbad","California",97.7,-117.2,33.1239
"246","Miami Gardens","Florida",47.2,-80.24,25.9489
"247","Westminster","Colorado",81.7,-105,39.8822
"248","Inglewood","California",23.5,-118.3,33.9561
"249","Rochester","Minnesota",141.4,-92.47,44.0154
"250","Fairfield","California",96.8,-122,38.2568
"251","Elgin","Illinois",96.3,-88.32,42.0396
"252","West Jordan","Utah",84.1,-112,40.6023
"253","Clearwater","Florida",66.2,-82.76,27.9795
"254","Manchester","New Hampshire",85.7,-71.44,42.9847
"255","Lowell","Massachusetts",35.2,-71.32,42.6389
"256","Gresham","Oregon",60.1,-122.4,45.5023
"257","Cambridge","Massachusetts",16.5,-71.11,42.376
"258","Ventura","California",56.1,-119.2,34.2681
"259","Temecula","California",78.1,-117.1,33.5019
"260","Waterbury","Connecticut",73.9,-73.03,41.5585
"261","Antioch","California",73.4,-121.7,37.9775
"262","Billings","Montana",112.4,-108.5,45.7895
"263","High Point","North Carolina",139.3,-79.99,35.9855
"264","Richardson","Texas",74,-96.7,32.9723
"265","Richmond","California",77.9,-122.3,37.953
"266","West Covina","California",41.5,-117.9,34.0559
"267","Pueblo","Colorado",138.9,-104.6,38.2731
"268","Murrieta","California",87,-117.1,33.5719
"269","Centennial","Colorado",74.4,-104.8,39.5906
"270","Norwalk","California",25.1,-118,33.9069
"271","North Charleston","South Carolina",119.5,-80.01,32.8853
"272","Everett","Washington",86.6,-122.1,48.0033
"273","Pompano Beach","Florida",62.2,-80.12,26.2426
"274","Daly City","California",19.8,-122.4,37.7009
"275","Palm Bay","Florida",170.2,-80.66,27.9856
"276","Burbank","California",44.9,-118.3,34.189
"277","Wichita Falls","Texas",186.8,-98.52,33.9067
"278","Boulder","Colorado",66.5,-105.2,40.0175
"279","Green Bay","Wisconsin",117.8,-87.98,44.5207
"280","Broken Arrow","Oklahoma",159.5,-95.78,36.0365
"281","West Palm Beach","Florida",143.2,-80.12,26.7483
"282","College Station","Texas",128.5,-96.31,30.6013
"283","Pearland","Texas",122.9,-95.29,29.5544
"284","Santa Maria","California",58.9,-120.4,34.9332
"285","El Cajon","California",37.4,-116.9,32.8017
"286","San Mateo","California",41.1,-122.3,37.5542
"287","Lewisville","Texas",110,-97,33.0383
"288","Rialto","California",57.9,-117.3,34.1118
"289","Davenport","Iowa",163,-90.6,41.5541
"290","Lakeland","Florida",193,-81.95,28.0411
"291","Clovis","California",60.3,-119.4,36.4931
"292","Edison","New Jersey",79.4,-74.34,40.504
"293","Sandy Springs","Georgia",101,-84.22,33.5615
"294","Tyler","Texas",140.8,-95.3,32.35
"295","Las Cruces","New Mexico",197.6,-106.7,32.3197
"296","South Bend","Indiana",107.4,-86.26,41.6769
"297","Woodbridge","New Jersey",63.5,-74.29,40.5608
